,Country
0,Afghanistan
1,Africa
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Anguilla
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Asia
12,Australia
13,Austria
14,Azerbaijan
15,Bahamas
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bermuda
24,Bhutan
25,Bolivia
26,Bonaire Sint Eustatius and Saba
27,Bosnia and Herzegovina
28,Botswana
29,Brazil
30,British Virgin Islands
31,Brunei
32,Bulgaria
33,Burkina Faso
34,Burundi
35,Cambodia
36,Cameroon
37,Canada
38,Cape Verde
39,Cayman Islands
40,Central African Republic
41,Chad
42,Chile
43,China
44,Colombia
45,Comoros
46,Congo
47,Cook Islands
48,Costa Rica
49,Cote d'Ivoire
50,Croatia
51,Cuba
52,Curacao
53,Cyprus
54,Czechia
55,Democratic Republic of Congo
56,Denmark
57,Djibouti
58,Dominica
59,Dominican Republic
60,Ecuador
61,Egypt
62,El Salvador
63,England
64,Equatorial Guinea
65,Eritrea
66,Estonia
67,Eswatini
68,Ethiopia
69,Europe
70,European Union
71,Faeroe Islands
72,Falkland Islands
73,Fiji
74,Finland
75,France
76,French Polynesia
77,Gabon
78,Gambia
79,Georgia
80,Germany
81,Ghana
82,Gibraltar
83,Greece
84,Greenland
85,Grenada
86,Guam
87,Guatemala
88,Guernsey
89,Guinea
90,Guinea-Bissau
91,Guyana
92,Haiti
93,High income
94,Honduras
95,Hong Kong
96,Hungary
97,Iceland
98,India
99,Indonesia
100,International
101,Iran
102,Iraq
103,Ireland
104,Isle of Man
105,Israel
106,Italy
107,Jamaica
108,Japan
109,Jersey
110,Jordan
111,Kazakhstan
112,Kenya
113,Kiribati
114,Kosovo
115,Kuwait
116,Kyrgyzstan
117,Laos
118,Latvia
119,Lebanon
120,Lesotho
121,Liberia
122,Libya
123,Liechtenstein
124,Lithuania
125,Low income
126,Lower middle income
127,Luxembourg
128,Macao
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
135,Marshall Islands
136,Mauritania
137,Mauritius
138,Mexico
139,Micronesia (country)
140,Moldova
141,Monaco
142,Mongolia
143,Montenegro
144,Montserrat
145,Morocco
146,Mozambique
147,Myanmar
148,Namibia
149,Nauru
150,Nepal
151,Netherlands
152,New Caledonia
153,New Zealand
154,Nicaragua
155,Niger
156,Nigeria
157,Niue
158,North America
159,North Korea
160,North Macedonia
161,Northern Cyprus
162,Northern Ireland
163,Northern Mariana Islands
164,Norway
165,Oceania
166,Oman
167,Pakistan
168,Palau
169,Palestine
170,Panama
171,Papua New Guinea
172,Paraguay
173,Peru
174,Philippines
175,Pitcairn
176,Poland
177,Portugal
178,Puerto Rico
179,Qatar
180,Romania
181,Russia
182,Rwanda
183,Saint Helena
184,Saint Kitts and Nevis
185,Saint Lucia
186,Saint Pierre and Miquelon
187,Saint Vincent and the Grenadines
188,Samoa
189,San Marino
190,Sao Tome and Principe
191,Saudi Arabia
192,Scotland
193,Senegal
194,Serbia
195,Seychelles
196,Sierra Leone
197,Singapore
198,Sint Maarten (Dutch part)
199,Slovakia
200,Slovenia
201,Solomon Islands
202,Somalia
203,South Africa
204,South America
205,South Korea
206,South Sudan
207,Spain
208,Sri Lanka
209,Sudan
210,Suriname
211,Sweden
212,Switzerland
213,Syria
214,Taiwan
215,Tajikistan
216,Tanzania
217,Thailand
218,Timor
219,Togo
220,Tokelau
221,Tonga
222,Trinidad and Tobago
223,Tunisia
224,Turkey
225,Turkmenistan
226,Turks and Caicos Islands
227,Tuvalu
228,Uganda
229,Ukraine
230,United Arab Emirates
231,United Kingdom
232,United States
233,United States Virgin Islands
234,Upper middle income
235,Uruguay
236,Uzbekistan
237,Vanuatu
238,Vatican
239,Venezuela
240,Vietnam
241,Wales
242,Wallis and Futuna
243,Western Sahara
244,World
245,Yemen
246,Zambia
247,Zimbabwe
