location,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_hosp_admissions,date
Cyprus,0.0,0.0,0.0,0.0,6.0,18.0,2020-03-22
Cyprus,9.0,10.045,33.0,36.83,14.0,51.0,2020-03-29
Cyprus,11.0,12.277,55.0,61.383,11.0,46.0,2020-04-05
Cyprus,13.0,14.509,42.0,46.875,8.0,21.0,2020-04-12
Cyprus,12.0,13.393,36.0,40.178,3.0,12.0,2020-04-19
Cyprus,9.0,10.045,30.0,33.482,2.0,6.0,2020-04-26
Cyprus,6.0,6.696,23.0,25.669,1.0,6.0,2020-05-03
Cyprus,4.0,4.464,20.0,22.321,1.0,6.0,2020-05-10
Cyprus,0.0,0.0,4.0,4.464,1.0,8.0,2020-08-02
Cyprus,0.0,0.0,5.0,5.58,1.0,4.0,2020-08-09
Cyprus,1.0,1.116,3.0,3.348,1.0,3.0,2020-08-23
Cyprus,1.0,1.116,4.0,4.464,1.0,2.0,2020-09-13
Cyprus,0.0,0.0,17.0,18.973,2.0,15.0,2020-09-27
Cyprus,2.0,2.232,11.0,12.277,3.0,4.0,2020-10-04
Cyprus,2.0,2.232,19.0,21.205,1.0,29.0,2020-10-18
Cyprus,2.0,2.232,32.0,35.714,4.0,32.0,2020-10-25
Cyprus,5.0,5.58,39.0,43.526,3.0,36.0,2020-11-01
Cyprus,7.0,7.812,77.0,85.937,6.0,66.0,2020-11-08
Cyprus,9.0,10.045,73.0,81.473,13.0,58.0,2020-11-15
Cyprus,9.0,10.045,97.0,108.258,6.0,71.0,2020-11-22
Cyprus,15.0,16.741,119.0,132.811,8.0,81.0,2020-11-29
Cyprus,12.0,13.393,121.0,135.044,10.0,72.0,2020-12-06
Cyprus,11.0,12.277,120.0,133.928,7.0,74.0,2020-12-13
Cyprus,14.0,15.625,125.0,139.508,13.0,95.0,2020-12-20
Cyprus,25.0,27.902,154.0,171.874,21.0,106.0,2020-12-27
Cyprus,28.0,31.25,182.0,203.123,12.0,126.0,2021-01-03
Cyprus,36.0,40.178,208.0,232.141,23.0,140.0,2021-01-10
Cyprus,39.0,43.526,208.0,232.141,27.0,120.0,2021-01-17
Cyprus,35.0,39.062,173.0,193.079,15.0,92.0,2021-01-24
Cyprus,32.0,35.714,140.0,156.249,9.0,69.0,2021-01-31
Cyprus,24.0,26.786,109.0,121.651,7.0,69.0,2021-02-07
Cyprus,21.0,23.437,87.0,97.097,11.0,55.0,2021-02-14
Cyprus,17.0,18.973,81.0,90.401,10.0,64.0,2021-02-21
Cyprus,14.0,15.625,88.0,98.214,3.0,54.0,2021-02-28
Cyprus,14.0,15.625,129.0,143.972,9.0,102.0,2021-03-07
