location,new_vaccinations,new_vaccinations_smoothed_per_million,total_vaccinations,total_vaccinations_per_hundred,total_boosters,total_boosters_per_hundred,date
Afghanistan,3316.0,71.0,16847327.0,40.96,1077577.0,2.62,2023-04-25
Africa,1607279.0,1201.0,189809912.0,13.3,28870.0,0.0,2021-10-28
Africa,1793119.0,1211.0,193296330.0,13.55,32750.0,0.0,2021-10-29
Africa,1674945.0,1227.0,194361624.0,13.62,71510.0,0.01,2021-10-30
Africa,1464629.0,1228.0,196480876.0,13.77,71510.0,0.01,2021-10-31
Africa,1439763.0,1169.0,197837482.0,13.87,124228.0,0.01,2021-11-01
Africa,1387041.0,1103.0,199146273.0,13.96,142786.0,0.01,2021-11-02
Africa,1358960.0,1074.0,199647730.0,13.99,153756.0,0.01,2021-11-03
Africa,1385568.0,1052.0,202346669.0,14.18,163744.0,0.01,2021-11-04
Africa,1391385.0,1012.0,202620703.0,14.2,173532.0,0.01,2021-11-05
Africa,1270730.0,971.0,204717964.0,14.35,179218.0,0.01,2021-11-06
Africa,1726702.0,997.0,205527932.0,14.41,189449.0,0.01,2021-11-07
Africa,1782142.0,1032.0,206026136.0,14.44,202552.0,0.01,2021-11-08
Africa,1825147.0,1075.0,206476148.0,14.47,213310.0,0.01,2021-11-09
Africa,1859022.0,1126.0,212163314.0,14.87,223337.0,0.02,2021-11-10
Africa,1815832.0,1169.0,213405327.0,14.96,233093.0,0.02,2021-11-11
Africa,1548824.0,1184.0,213812455.0,14.99,243348.0,0.02,2021-11-12
Africa,1492667.0,1207.0,215510097.0,15.11,256524.0,0.02,2021-11-13
Africa,1345703.0,1168.0,216483974.0,15.17,263155.0,0.02,2021-11-14
Africa,1489742.0,1139.0,217665658.0,15.26,272326.0,0.02,2021-11-15
Africa,1465159.0,1103.0,217925557.0,15.27,280269.0,0.02,2021-11-16
Africa,1495602.0,1067.0,218681637.0,15.33,290842.0,0.02,2021-11-17
Africa,1405108.0,1026.0,221670670.0,15.54,295394.0,0.02,2021-11-18
Africa,1575854.0,1028.0,221958829.0,15.56,301875.0,0.02,2021-11-19
Africa,1667917.0,1046.0,224423425.0,15.73,305078.0,0.02,2021-11-20
Africa,1796069.0,1091.0,226256507.0,15.86,318245.0,0.02,2021-11-21
Africa,1927357.0,1135.0,227673638.0,15.96,337494.0,0.02,2021-11-22
Africa,2043682.0,1193.0,228698706.0,16.03,350256.0,0.02,2021-11-23
Africa,2211846.0,1264.0,231376078.0,16.22,356468.0,0.02,2021-11-24
Africa,2260789.0,1350.0,232421121.0,16.29,375609.0,0.03,2021-11-25
Africa,2016041.0,1394.0,233660975.0,16.38,389958.0,0.03,2021-11-26
Africa,1789091.0,1406.0,234240410.0,16.42,405021.0,0.03,2021-11-27
Africa,1662582.0,1393.0,237923232.0,16.68,413523.0,0.03,2021-11-28
Africa,2119673.0,1412.0,239938173.0,16.82,436553.0,0.03,2021-11-29
Africa,2135709.0,1421.0,241204351.0,16.91,450385.0,0.03,2021-11-30
Africa,1937204.0,1394.0,241697921.0,16.94,457450.0,0.03,2021-12-01
Africa,2077003.0,1375.0,244138322.0,17.11,463718.0,0.03,2021-12-02
Africa,2657351.0,1440.0,245843767.0,17.23,470619.0,0.03,2021-12-03
Africa,1538823.0,1415.0,248872918.0,17.44,479959.0,0.03,2021-12-04
Africa,1444168.0,1393.0,249894682.0,17.52,494730.0,0.03,2021-12-05
Africa,1632866.0,1344.0,251954417.0,17.66,512730.0,0.04,2021-12-06
Africa,1721239.0,1303.0,252438430.0,17.69,535575.0,0.04,2021-12-07
Africa,1720490.0,1281.0,254776807.0,17.86,558641.0,0.04,2021-12-08
Africa,1668698.0,1240.0,259552978.0,18.19,574335.0,0.04,2021-12-09
Africa,2055881.0,1180.0,260314607.0,18.25,593495.0,0.04,2021-12-10
Africa,1839672.0,1210.0,262827090.0,18.42,608185.0,0.04,2021-12-11
Africa,1863342.0,1252.0,264376660.0,18.53,617549.0,0.04,2021-12-12
Africa,1975615.0,1286.0,265330659.0,18.6,633454.0,0.04,2021-12-13
Africa,1991866.0,1313.0,267711738.0,18.76,644723.0,0.05,2021-12-14
Africa,1971390.0,1338.0,270220358.0,18.94,663869.0,0.05,2021-12-15
Africa,2499577.0,1422.0,270873142.0,18.99,674557.0,0.05,2021-12-16
Africa,2375728.0,1454.0,271322065.0,19.02,689618.0,0.05,2021-12-17
Africa,2310304.0,1501.0,273401858.0,19.16,712728.0,0.05,2021-12-18
Africa,2304209.0,1545.0,274067231.0,19.21,726927.0,0.05,2021-12-19
Africa,2504625.0,1598.0,279450592.0,19.59,747911.0,0.05,2021-12-20
Africa,2594228.0,1658.0,280029601.0,19.63,747911.0,0.05,2021-12-21
Africa,2571845.0,1718.0,281685011.0,19.74,747911.0,0.05,2021-12-22
Africa,2332477.0,1702.0,286205196.0,20.06,777325.0,0.05,2021-12-23
Africa,1907964.0,1655.0,288683233.0,20.23,793885.0,0.06,2021-12-24
Africa,1788616.0,1602.0,288905894.0,20.25,793885.0,0.06,2021-12-25
Africa,1735186.0,1545.0,290436783.0,20.36,830873.0,0.06,2021-12-26
Africa,1577023.0,1453.0,291643397.0,20.44,843010.0,0.06,2021-12-27
Africa,1632987.0,1356.0,298525241.0,20.92,851963.0,0.06,2021-12-28
Africa,1683568.0,1267.0,298955785.0,20.95,865281.0,0.06,2021-12-29
Africa,1643906.0,1198.0,300177518.0,21.04,882068.0,0.06,2021-12-30
Africa,2049102.0,1213.0,303508220.0,21.27,892142.0,0.06,2021-12-31
Africa,1742670.0,1208.0,304142817.0,21.32,909609.0,0.06,2022-01-01
Africa,1304246.0,1165.0,304601512.0,21.35,922175.0,0.06,2022-01-02
Africa,1579535.0,1165.0,305047846.0,21.38,927446.0,0.07,2022-01-03
